original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,street,suburb,name,county_code,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
2525,Candiolo,Italy,44.959244,7.601722,"Candiolo, Piedmont, Italy",,,,,,TO,,Candiolo,Torino,Piedmont,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2526,Grand Forks,United States,47.9252042,-97.0306741,"Grand Forks, ND, United States of America",,,,,,,,Grand Forks,Grand Forks County,North Dakota,ND,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2527,Pozzilli,Italy,41.511422,14.062517,"86077 Pozzilli, Italy",,,,,,IS,86077,Pozzilli,Isernia,Molise,MOL,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2528,Sioux Falls,United States,43.5488256,-96.7307737,"Sioux Falls, SD, United States of America",,,,,,,,Sioux Falls,Minnehaha County,South Dakota,SD,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2529,Flushing,United States,40.1495133,-81.0662112,"Flushing, OH, United States of America",,,,,,,,Flushing,Belmont County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2530,Hinthada,Myanmar,17.620633249999997,95.39117494347299,"Hinthada, Ayeyarwady, Myanmar",,,,,,,,Hinthada,,Ayeyarwady,,Myanmar,mm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2531,Bhaktapur,Nepal,27.6711133,85.4261675,"Bhaktapur, Bagmati Province 44800, Nepal",,,,,Bhaktapur,,44800,Bhaktapur,Bhaktapur,Bagmati Province,,Nepal,np,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2532,Nakhonnayok,Thailand,14.188091,101.128608,"Nakhon Nayok, Thailand",,,,,Nakhon Nayok,,,,,Nakhon Nayok,,Thailand,th,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2533,River Falls,United States,44.8596498,-92.6255048,"River Falls, WI 54022, United States of America",,,,,,,54022,River Falls,Pierce County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2534,Lively,Canada,46.4365168,-81.146366,"Lively (Greater Sudbury), ON P3Y 1M4, Canada",,,,,Lively,,P3Y 1M4,Greater Sudbury,Sudbury District,Ontario,ON,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2535,Raipur,India,21.2380912,81.6336993,"Raipur - 493332, CT, India",,,,,Raipur,,493332,Raipur,Raipur Tahsil,Chhattisgarh,CT,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2536,Iskandar Puteri,Malaysia,1.4522711,103.6144729,"Johor Bahru, Iskandar Puteri, Johor, Malaysia",Johor Bahru,,,,,,,Iskandar Puteri,,Johor,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2537,Dourados,Brazil,-22.2206145,-54.812208,"Dourados, MS, Brazil",,,,,,,,Dourados,Região Geográfica Intermediária de Dourados,Mato Grosso do Sul,MS,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2538,San Marcos,United States,33.1352995,-117.1743395,"San Marcos, CA, United States of America",,,,,,,,San Marcos,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2539,Westminster,United States,39.8366528,-105.0372046,"Westminster, CO, United States of America",,,,,,,,Westminster,Adams County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2540,Middlebury,United States,44.014299,-73.167229,"Middlebury, VT, United States of America",,,,,,,,Middlebury,Addison County,Vermont,VT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2541,Trollhattan,Sweden,58.2827931,12.2908612,"461 83 Trollhättan, Sweden",,,,,Trollhättan,,461 83,Trollhättan,Västra Götaland County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2542,Rio Grande,Brazil,-32.0334252,-52.0991297,"Rio Grande, RS, Brazil",,,,,,,,Rio Grande,Aglomeração Urbana do Sul,Rio Grande do Sul,RS,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2543,Middletown,United States,41.5623178,-72.6509061,"Middletown, CT, United States of America",,,,,,,,Middletown,Lower Connecticut River Valley Planning Region,Connecticut,CT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2544,Caloocan,Philippines,14.651348,120.9724002,"Caloocan, Metro Manila, Philippines",,,,,,,,Caloocan,Northern Manila District,Metro Manila,,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2545,Arlesheim,Switzerland,47.4931125,7.6202048,"4144 Arlesheim, Switzerland",,,,,,,4144,Arlesheim,Bezirk Arlesheim,Basel-Landschaft,BL,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2546,Saratov,Russian Federation,51.530018,46.034683,"Saratov, Saratov Oblast, Russia, 410000",,,,,Saratov,,410000,Saratov,Saratov,Saratov Oblast,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2547,Ogaki,Japan,35.3671141,136.6179746,"Ogaki, Japan",,,,,,,,Ogaki,Gifu Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2548,Quang Ngai,Viet Nam,15.1190037,108.8095598,"Quảng Ngãi City, Quảng Ngãi Province, Vietnam",,,,,,,,Quảng Ngãi City,,Quảng Ngãi Province,,Vietnam,vn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2549,Kyaukse Township,Myanmar,21.72522725,96.60359319240224,"Kyaukse Township, 05151, Myanmar",,,,,,,05151,Kyaukse Township,,Mandalay,,Myanmar,mm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2550,Rockhampton,Australia,-23.3782137,150.5134227,"Rockhampton QLD 4700, Australia",,,,,Rockhampton,,4700,Rockhampton,,Queensland,QLD,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2551,Dusit,Thailand,13.7705456,100.5126084,"Dusit District, Bangkok, Thailand",,,,Dusit District,,,10300,,,Bangkok,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2552,Pato Branco,Brazil,-26.2295984,-52.6712474,"Pato Branco, PR, Brazil",,,,,,,,Pato Branco,Região Geográfica Intermediária de Cascavel,Paraná,PR,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2553,Guarapuava,Brazil,-25.3950986,-51.4622016,"Guarapuava, PR, Brazil",,,,,,,,Guarapuava,Região Geográfica Intermediária de Guarapuava,Paraná,PR,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2554,Oneonta,United States,33.9481955,-86.472938,"Oneonta, AL 35121, United States of America",,,,,,,35121,Oneonta,Blount County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2555,Jessore,Bangladesh,23.1665256,89.2094419,"Jashore, Khulna Division, Bangladesh",,,,,,,,Jashore,Jashore District,Khulna Division,,Bangladesh,bd,0.6428571428571429,0.6428571428571429,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2556,Gazipur,Bangladesh,23.9997558,90.4173629,"Gazipur - 1701, Bangladesh",,,,,Gazipur,,1701,Gazipur,Gazipur District,Dhaka Division,,Bangladesh,bd,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2557,Bollington,United Kingdom,53.29348,-2.1107855,"Bollington, ENG, United Kingdom",,,,,,CHE,,Bollington,Cheshire East,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2558,Morogoro,Tanzania,-6.8161626,37.6693891,"67104 Morogoro, Morogoro Region, Tanzania",,,,,Morogoro,,67104,Morogoro,Morogoro Municipal,Morogoro Region,,Tanzania,tz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2559,Ngaoundere,Cameroon,7.3211536,13.5878214,"Ngaoundéré, Adamawa, Cameroon",,,,,Ngaoundéré,,,Ngaoundéré,Vina,Adamawa,,Cameroon,cm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2560,Conakry,Guinea,9.5170602,-13.6998434,"Conakry, Guinea",,,,,,,,Conakry,,,,Guinea,gn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2561,Monrovia,Liberia,6.328034,-10.797788,"Monrovia, Montserrado County, Liberia",,,,,Monrovia,,,Monrovia,Greater Monrovia,Montserrado County,,Liberia,lr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2562,Sitiawan,Malaysia,4.2162318,100.6951901,"Manjung, Sitiawan, Perak, Malaysia",Manjung,,,,Sitiawan,,32000,Sitiawan,,Perak,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2563,Nilai,Malaysia,2.8020988,101.7981676,"Seremban, Nilai, Negeri Sembilan, Malaysia",Seremban,,,,Nilai,,71800,Nilai,,Negeri Sembilan,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2564,Kahramanmaras,Turkey,37.5812744,36.927509,"36002 Dulkadiroğlu (Kahramanmaraş), Turkey",,,,,Kahramanmaraş,,36002,Kahramanmaraş,Kahramanmaraş,Mediterranean Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2565,Isparta,Turkey,37.7709545,30.5512931,"Isparta, Mediterranean Region, Turkey",,,,,,,,Isparta,Isparta,Mediterranean Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2566,Nakonratchasrima,Thailand,15.512883,101.301707,Thailand,,,,,Thailand,,,,,,,Thailand,th,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2567,Mohali,India,20.4956374,75.2117264,"Mohali (Mohali), MH, India",,,,,Mohali,,,Mohali,Soegaon,Maharashtra,MH,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2568,Bac Lieu,Viet Nam,9.2824882,105.7260685,"Bạc Liêu City, Bạc Liêu Province 97000, Vietnam",,,,,,,97000,Bạc Liêu City,,Bạc Liêu Province,,Vietnam,vn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2569,Volgograd,Russian Federation,48.7081906,44.5153353,"Volgograd, Volgograd Oblast, Russia",,,,,Volgograd,,,Volgograd,Volgograd,Volgograd Oblast,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2570,Manado,Indonesia,1.4900578,124.8408708,"Manado, North Sulawesi, Indonesia",,,,,,,,Manado,,North Sulawesi,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2571,Zaventem,Belgium,50.8806207,4.4730008,"Zaventem, Flemish Brabant, Belgium",,,,,,,,Zaventem,Halle-Vilvoorde,Flemish Brabant,,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2572,Waverly,United States,45.0666303,-93.9663609,"Waverly, MN, United States of America",,,,,,,,Waverly,Wright County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2573,Chantaburi,Thailand,12.613507,102.107284,"Chanthaburi, Thailand",,,,,,,,Chanthaburi,Chanthaburi,Chanthaburi,,Thailand,th,0.8181818181818181,0.8181818181818181,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2574,Greater Noida,India,28.4670734,77.5137649,"Greater Noida - 201310, UP, India",,,,,Greater Noida,,201310,Greater Noida,Gautam Buddha Nagar,Uttar Pradesh,UP,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2575,Najran,Saudi Arabia,17.5439809,44.2246817,"Najran 66261, Saudi Arabia",,,,,Najran,,66261,Najran,Najran,Najran Region,,Saudi Arabia,sa,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2576,Arecibo,United States,18.471975,-66.7161704,"Arecibo, PR, United States of America",,,,,,,,Arecibo,,Puerto Rico,PR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2577,Campeche,Mexico,16.1810561,-92.4321842,"Campeche (Campeche), CHP, Mexico",,,,,Campeche,,,Campeche,Socoltenango,Chiapas,CHP,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2578,Warminster,United States,37.6873653,-78.6977927,"Warminster (Warminster), VA 24562, United States of America",,,,,Warminster,,24562,Warminster,Nelson County,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2579,Aydin,Turkey,37.8483767,27.8435878,"09110 Efeler (Aydin), Turkey",,,,,Aydin,,09110,Aydin,Aydın,Aegean Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2580,Colorado Springs,United States,38.8339578,-104.825348,"Colorado Springs, CO, United States of America",,,,,,,,Colorado Springs,El Paso County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2581,Pollachi,India,10.6588234,77.00873,"Pollachi - 642001, TN, India",,,,,Pollachi,,642001,Pollachi,Pollachi,Tamil Nadu,TN,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2582,Jerash,Jordan,32.281235,35.9010013,"Jerash, Jarash, Jordan",,,,,Jerash,,,Jerash,Jerash Sub-District,Jarash,,Jordan,jo,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2583,Serang,Indonesia,-6.1169662,106.1518079,"Serang, Banten, Indonesia",,,,,,,,Serang,,Banten,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2584,Muang Thong Thani,Thailand,13.916981400000001,100.54033870419809,"Muang Thong Thani, Bang Phut Subdistrict, Nonthaburi Province 11120, Thailand",Muang Thong Thani,,,Bang Phut Subdistrict,Muang Thong Thani,,11120,Pak Kret City Municipality,,Nonthaburi Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2585,South Tangerang,Indonesia,-6.3227016,106.7085737,"South Tangerang 15414, Banten, Indonesia",,,,,South Tangerang,,15414,South Tangerang,,Banten,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2586,Kiruna,Sweden,67.848889,20.302778,"981 85 Kiruna, Sweden",,,,,Kiruna,,981 85,Kiruna,Norrbotten County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2587,Nabari,Japan,34.6279243,136.1086582,"Nabari, Japan",,,,,,,,Nabari,Mie Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2588,n'Djamena,Chad,12.1191543,15.0502758,"N'Djamena, Chad",,,,,,,,N'Djamena,,,,Chad,td,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2589,Kaifeng,China,34.7961106,114.3472038,"Kaifeng, Henan, China",,,,,Kaifeng,,,Kaifeng,Gulou District,Henan,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2590,Monroe,United States,32.5102427,-92.1032411,"Monroe, LA, United States of America",,,,,,,,Monroe,Ouachita Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2591,Basingstoke,United Kingdom,51.262826,-1.0861976,"Basingstoke and Deane, ENG, United Kingdom",,,,,Basingstoke,HAM,,Basingstoke and Deane,Hampshire,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2592,Roi-et,Thailand,16.0568089,103.6514286,"Roi Et, Roi Et Province 45000, Thailand",,,,,Roi Et,,45000,Roi Et,,Roi Et Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2593,Akluj,India,17.8930069,75.0204482,"Akluj - 413101, MH, India",,,,,Akluj,,413101,Akluj,Malshiras,Maharashtra,MH,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2594,Vero Beach,United States,27.6387163,-80.3975399,"Vero Beach, FL, United States of America",,,,,,,,Vero Beach,Indian River County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2595,Praia,Cape Verde,14.9162811,-23.5095095,"7600 Praia, Cape Verde",,,,,Praia,,7600,Praia,Praia,,,Cape Verde,cv,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2596,Vlora,Albania,40.4707602,19.4912716,"Vlorë, Vlora, Southern Albania, Albania",Vlorë,,,,,,9401-9403,Vlora,Vlorë County,Southern Albania,,Albania,al,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2597,Ho,Ghana,6.6126598,0.4688932,"Ho, Ghana",,,,,Ho,,VH-0010-3089,Ho,Ho Municipal District,Volta Region,,Ghana,gh,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2598,Congella,South Africa,-29.8713889,30.9975,"Congella, Durban, NL, South Africa",,,,Congella,Congella,,4013,Durban,eThekwini Metropolitan Municipality,KwaZulu-Natal,NL,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2599,Khemis Miliana,Algeria,36.2601716,2.2196633,"Khemis Milana, Aïn Defla, Algeria",,,,,,,,Khemis Milana,Khemis Meliana District,Aïn Defla,,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2600,Mahe,Seychelles,-4.68379555,55.49263800753758,"Mahé, Au Cap, Seychelles",,,,,Mahé,,,,Au Cap,,,Seychelles,sc,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2601,Kabul,Afghanistan,34.5260109,69.1776838,"Kabul, Afghanistan",,,,,Kabul,,1001,Kabul,Kabul District,Kabul Province,,Afghanistan,af,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2602,Aleppo,Syrian Arab Republic,36.19924,37.1637253,"Mount Simeon District, Aleppo, Aleppo Governorate, Syria",Mount Simeon District,,,,Aleppo,,,Aleppo,,Aleppo Governorate,,Syria,sy,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2603,Saskatoon,Canada,52.131802,-106.660767,"Saskatoon, SK, Canada",,,,,,,,Saskatoon,Division No. 11,Saskatchewan,SK,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2604,Caseros,Argentina,-34.607366,-58.5661311,"Caseros, B, Argentina",,,,,,,,Caseros,Partido de Tres de Febrero,Buenos Aires,B,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2605,Cassino,Italy,41.4925576,13.8305297,"03043 Cassino, Italy",,,,,,FR,03043,Cassino,Frosinone,Lazio,LAZ,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2606,Abomey-Calavi,Benin,6.4538637,2.354245,"Abomey-Calavi, Atlantique Department, Benin",,,,,Abomey-Calavi,,,Abomey-Calavi,Abomey-Calavi,Atlantique Department,,Benin,bj,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2607,Son,Norway,59.5242201,10.6879701,"1553 Son (Son), Norway",,,,,Son,,1553,Son,Akershus,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2608,Nanoro,Burkina Faso,12.6871078,-2.1959606,"Nanoro, Central-West, Burkina Faso",,,,,Nanoro,,,Nanoro,Boulkiemdé,Central-West,,Burkina Faso,bf,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2609,Riejka,Croatia,45.793437,16.380905,Croatia,,,,,Croatia,,,,,,,Croatia,hr,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2610,Belize City,Belize,17.5002768,-88.1988737,"Belize City, Belize District, Belize",,,,,,,,Belize City,,Belize District,,Belize,bz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2611,Hurlingham,Argentina,-34.5933423,-58.6378405,"Hurlingham, B, Argentina",,,,,,,,Hurlingham,Partido de Hurlingham,Buenos Aires,B,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2612,Bissau,Guinea-Bissau,11.861324,-15.583055,"1021 Bissau, Guinea-Bissau",,,,,Bissau,,1021,Bissau,,Bissau Autonomous Sector,,Guinea-Bissau,gw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
