,original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
34,34,Charlottesville,United States,38.029306,-78.4766781,"Charlottesville, VA, United States of America",,,,,,,,Charlottesville,,Virginia,VA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35,35,Lund,Sweden,55.7029296,13.1929449,"Lund, Sweden",,,,,,,,Lund,Skåne County,,,Sweden,se,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
36,36,Bristol,United Kingdom,51.4538022,-2.5972985,"Bristol, ENG, United Kingdom",,,Bristol,,BST,,,Bristol,City of Bristol,England,ENG,United Kingdom,gb,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,37,Boston,United States,42.3554334,-71.060511,"Boston, MA, United States of America",,,,,,,,Boston,Suffolk County,Massachusetts,MA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
38,38,Auckland,New Zealand,-36.852095,174.7631803,"Auckland 1010, New Zealand",,,Auckland,,,1010,,Auckland,,Auckland,AUK,New Zealand,nz,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,39,Rayong,Thailand,12.6817905,101.277765,"Rayong, Rayong Province 21000, Thailand",,,Rayong,,,21000,,Rayong,,Rayong Province,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,40,Arica,Chile,-18.4785288,-70.3211394,"Arica, Arica and Parinacota Region, Chile",,,,,,,,Arica,Provincia de Arica,Arica and Parinacota Region,,Chile,cl,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,41,Nakhon Pathom,Thailand,13.8190071,100.0639917,"Nakhon Pathom, Nakhon Pathom Province 73000, Thailand",,,Nakhon Pathom,,,73000,,Nakhon Pathom,ลำพยา,Nakhon Pathom Province,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
42,42,Surabaya,Indonesia,-7.2459717,112.7378266,"Surabaya, East Java, Indonesia",,,,,,,,Surabaya,,East Java,,Indonesia,id,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43,43,Brussels,Belgium,50.8465573,4.351697,"Brussels, Brussels-Capital, Belgium",,,,,,,,Brussels,Brussels-Capital,Brussels-Capital,,Belgium,be,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,44,Chaing Mai,Thailand,18.7814227,98.9890779248726,"Chao Pho Phatu Chaing Mai Shrine, Bumrung Buri Road, Chiang Mai, Saraphi District, Chiang Mai Province 55520, Thailand",Saraphi District,,Chao Pho Phatu Chaing Mai Shrine,Bumrung Buri Road,,55520,,Chiang Mai,,Chiang Mai Province,,Thailand,th,0.6666666666666666,0.6666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45,45,Kuala Lumpur,Malaysia,3.1516964,101.6942371,"Kuala Lumpur, Malaysia",,,,,,,,Kuala Lumpur,,,,Malaysia,my,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,46,Hatyai,Thailand,6.93409855,100.3879750591064,"HATYAI (HTY) DVOR/DME, ถนนเลียบสนามบิน, Hat Yai, Songkhla Province 90115, Thailand",,,HATYAI (HTY) DVOR/DME,ถนนเลียบสนามบิน,,90115,,Hat Yai,,Songkhla Province,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47,47,Bratislava,Slovakia,48.1516988,17.1093063,"Bratislava, Slovakia",,,,,,,,Bratislava,,Region of Bratislava,,Slovakia,sk,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48,48,Aachen,Germany,50.776351,6.083862,"Aachen, North Rhine-Westphalia, Germany",,,,,,,,Aachen,Städteregion Aachen,North Rhine-Westphalia,,Germany,de,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,49,Gif-sur-Yvette,France,48.7018823,2.134529,"91190 Gif-sur-Yvette, France",,,,,,91190,,Gif-sur-Yvette,Essonne,Ile-de-France,IDF,France,fr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
50,50,Tbilisi,Georgia,41.6934591,44.8014495,"Tbilisi, Georgia",,,,,,,,Tbilisi,,,,Georgia,ge,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
51,51,Belgrade,Serbia,44.8178131,20.4568974,"Belgrade, Central Serbia, Serbia",,,Belgrade,,,,,Belgrade,City of Belgrade,Central Serbia,,Serbia,rs,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
52,52,Mumbai,India,19.0785451,72.878176,"Mumbai, MH, India",,,,,,,,Mumbai,,Maharashtra,MH,India,in,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
53,53,Pisa,Italy,43.7159395,10.4018624,"Pisa, Tuscany, Italy",,,,,PI,,,Pisa,Pisa,Tuscany,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54,54,Athens,Greece,37.9755648,23.7348324,"105 57 Athens, Greece",,,Athens,,,105 57,,Athens,Regional Unit of Central Athens,Attica,,Greece,gr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55,55,Hamburg,Germany,53.550341,10.000654,"Hamburg, Germany",,,,,,,,Hamburg,,,,Germany,de,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
56,56,Budapest,Hungary,47.4978789,19.0402383,"Budapest, Central Hungary, Hungary",,,,,,,,Budapest,,Central Hungary,,Hungary,hu,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
57,57,Didcot,United Kingdom,51.6056908,-1.2467923,"Didcot (South Oxfordshire), ENG, United Kingdom",,,,,OXF,,,South Oxfordshire,Oxfordshire,England,ENG,United Kingdom,gb,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
58,58,Geneva,Switzerland,46.2017559,6.1466014,"Geneva, Switzerland",,,,,,,,Geneva,,Geneva,,Switzerland,ch,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,59,Gainesville,United States,29.6519684,-82.3249846,"Gainesville, FL, United States of America",,,,,,,,Gainesville,Alachua County,Florida,FL,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
60,60,Daegu,South Korea,35.8713,128.6018,"Daegu, South Korea",,,,,,,,Daegu,,,,South Korea,kr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
61,61,Zurich,Switzerland,47.3744489,8.5410422,"8000–8099 Zurich, Switzerland",,,,,,8000–8099,,Zurich,District Zurich,Zurich,,Switzerland,ch,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
62,62,Milan,Italy,45.4641943,9.1896346,"Milan, Lombardy, Italy",,,,,,,,Milan,Milan,Lombardy,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
63,63,West Lafayette,United States,40.4258686,-86.9080655,"West Lafayette, IN, United States of America",,,,,,,,West Lafayette,Tippecanoe County,Indiana,IN,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
64,64,Dubna,Russian Federation,56.7362705,37.1623696,"Dubna, Moscow Oblast, Russia, 141980",,,Dubna,,,141980,,Dubna,Dubna,Moscow Oblast,,Russia,ru,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,65,Debrecen,Hungary,47.531399,21.6259782,"Debrecen, North Great Plain, Hungary",,,,,,,,Debrecen,Hajdú-Bihar,North Great Plain,,Hungary,hu,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
66,66,Split,Croatia,43.5116383,16.4399659,"Split, Croatia",,,,,,,,Split,Split-Dalmatia County,,,Croatia,hr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,67,Westville,United States,40.0422589,-87.6386322,"Westville, IL, United States of America",,,,,,,,Westville,Vermilion County,Illinois,IL,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,68,New Brunswick,United States,40.4862174,-74.4518173,"New Brunswick, NJ, United States of America",,,,,,,,New Brunswick,Middlesex County,New Jersey,NJ,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
69,69,Cairo,Egypt,30.0443879,31.2357257,"Cairo, Egypt",,,Cairo,,,,,Cairo,,Cairo,,Egypt,eg,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
70,70,Trieste,Italy,45.6496485,13.7772781,"34121-34151 Trieste, Italy",,,,,TS,34121-34151,,Trieste,Trieste,Friuli-Venezia Giulia,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,71,Perugia,Italy,43.1119613,12.3890104,"Perugia, UMB, Italy",,,,,PG,,,Perugia,Perugia,Umbria,UMB,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
72,72,Genoa,Italy,44.40726,8.9338624,"Genoa, LIG, Italy",,,,,GE,,,Genoa,Genoa,Liguria,LIG,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,73,Bologna,Italy,44.4938203,11.3426327,"Bologna, EMI, Italy",,,,,BO,,,Bologna,Bologna,Emilia-Romagna,EMI,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74,74,Catania,Italy,37.5023612,15.0873718,"Catania, Sicily, Italy",,,,,CT,,,Catania,Catania,Sicily,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,75,Bari,Italy,41.1257843,16.8620293,"Bari, Apulia, Italy",,,,,BA,,,Bari,Bari,Apulia,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76,76,Bicocca,Italy,45.5151365,9.2122056,"Bicocca, Milan, Lombardy, Italy",,,Bicocca,,,20126,Bicocca,Milan,Milan,Lombardy,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,77,Turin,Italy,45.0677551,7.6824892,"Turin, Piedmont, Italy",,,,,TO,,,Turin,Torino,Piedmont,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,78,Pavia,Italy,45.1860043,9.1546375,"27100 Pavia, Italy",,,,,PV,27100,,Pavia,Pavia,Lombardy,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
79,79,Sesto Fiorentino,Italy,43.831721,11.1992239,"Sesto Fiorentino, Tuscany, Italy",,,,,,,,Sesto Fiorentino,Florence,Tuscany,,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,80,Otwock,Poland,52.1041197,21.2681092,"Otwock, Masovian Voivodeship, Poland",,,,,,,,Otwock,Otwock County,Masovian Voivodeship,,Poland,pl,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
81,81,Naples,Italy,40.8358846,14.2487679,"Naples, CAM, Italy",,,,,,,,Naples,Napoli,Campania,CAM,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
82,82,Padua,Italy,45.4077172,11.8734455,"35121-35143 Padua, Italy",,,,,,35121-35143,,Padua,Province of Padua,Veneto,VEN,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
83,83,Solan,India,30.9077569,77.1023645,"Solan - 173212, HP, India",,,Solan,,,173212,,Solan,Solan,Himachal Pradesh,HP,India,in,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
84,84,Bhubaneswar,India,20.2602964,85.8394521,"Bhubaneshwar - 751001, OR, India",,,Bhubaneshwar,,,751001,,Bhubaneshwar,Bhubaneswar (M.Corp.),Odisha,OR,India,in,0.825,0.825,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
85,85,Tehran,Iran,35.6892523,51.3896004,"بخش مرکزی شهرستان تهران, Tehran, Iran",بخش مرکزی شهرستان تهران,,,,,,,Tehran,Tehran County,,,Iran,ir,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
86,86,Meram,Turkey,37.8679527,32.4946514,"Meram, Central Anatolia Region, Turkey",,,,,,,,Meram,Konya,Central Anatolia Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
87,87,Sinop,Turkey,42.0265798,35.1511512,"57002 Sinop, Turkey",,,,,,57002,,Sinop,Sinop,Black Sea Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
88,88,Istanbul,Turkey,41.006381,28.9758715,"34122 Fatih (Istanbul), Turkey",,,Istanbul,,,34122,,Istanbul,Istanbul,Marmara Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
89,89,Bingol,Turkey,38.8861265,40.4972333,"12000 Bingöl, Turkey",,,,,,12000,,Bingöl,Bingöl,Eastern Anatolia Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
90,90,Kharkiv,Ukraine,49.9923181,36.2310146,"Kharkiv Raion, Kharkiv, Kharkiv Oblast, Ukraine",Kharkiv Raion,,,,,,,Kharkiv,,Kharkiv Oblast,,Ukraine,ua,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
91,91,Pune,India,18.521428,73.8544541,"Pune, MH, India",,,,,,,,Pune,Pune,Maharashtra,MH,India,in,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92,92,Strasbourg,France,48.584614,7.7507127,"Strasbourg, GES, France",,,,,,,,Strasbourg,Bas-Rhin,Grand Est,GES,France,fr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93,93,Adiyaman,Turkey,37.7602379,38.2772662,"Adıyaman, Southeastern Anatolia Region, Turkey",,,,,,,,Adıyaman,Adıyaman,Southeastern Anatolia Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
94,94,Erzincan,Turkey,39.7467552,39.49103,"24180 Erzincan, Turkey",,,Erzincan,,,24180,,Erzincan,Erzincan Merkez,Eastern Anatolia Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
95,95,Doha,Qatar,25.2856329,51.5264162,"Doha, Qatar",,,,,,,,Doha,,,,Qatar,qa,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
96,96,Quito,Ecuador,-0.2201641,-78.5123274,"170130, Quito, Ecuador",,,Quito,,,170130,,Quito,Quito Canton,Pichincha,P,Ecuador,ec,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
97,97,Mayaguez,Puerto Rico,18.20151,-67.139711,"Mayagüez, Puerto Rico, United States of America",,,,,,,,Mayagüez,Mayagüez,,,,pr,1.0,1.0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
98,98,Nicosia,Cyprus,35.1746503,33.3638783,"1011 Nicosia, Cyprus",,,Nicosia,,,1011,,Nicosia,Nicosia District,Cyprus,,Cyprus,cy,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
99,99,Galle,Sri Lanka,6.0328139,80.214955,"Galle, Southern Province, Sri Lanka",,,,,,,,Galle,Galle District,Southern Province,,Sri Lanka,lk,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
100,100,Riga,Latvia,56.9493977,24.1051846,"Riga, Latvia",,,,,,,,Riga,,,,Latvia,lv,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101,101,Yerevan,Armenia,40.1777112,44.5126233,"Yerevan, Armenia",,,,,,,,Yerevan,,,,Armenia,am,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
102,102,Tallinn,Estonia,59.4372155,24.7453688,"Tallinn, Estonia",,,,,,,,Tallinn,Harju maakond,,,Estonia,ee,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
103,103,Protvino,Russian Federation,54.8707703,37.2188629,"Protvino, Moscow Oblast, Russia",,,Protvino,,,,,Protvino,городской округ Серпухов,Moscow Oblast,,Russia,ru,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
104,104,Islamabad,Pakistan,33.6938118,73.0651511,"Islamabad 44000, Pakistan",,,Islamabad,,,44000,,Islamabad,,Islamabad Capital Territory,,Pakistan,pk,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105,105,Minsk,Belarus,53.9024716,27.5618225,"Minsk, Belarus",,,,,,,,Minsk,,,,Belarus,by,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
106,106,Vilnius,Lithuania,54.6870458,25.2829111,"Vilnius, Vilnius County, Lithuania",,,,,,,,Vilnius,Vilnius city municipality,Vilnius County,,Lithuania,lt,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
107,107,Bogota,Colombia,4.6529539,-74.0835643,"Bogota, RAP (Especial) Central, Colombia",,,,,,,,Bogota,,RAP (Especial) Central,,Colombia,co,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
108,108,Ghent,Belgium,51.0538286,3.7250121,"Ghent, East Flanders, Belgium",,,,,,,,Ghent,Gent,East Flanders,,Belgium,be,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
109,109,Adana,Turkey,36.9863599,35.3252861,"01010 Seyhan (Adana), Turkey",,,Adana,,,01010,,Adana,Adana,Mediterranean Region,,Turkey,tr,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
110,110,Rome,Italy,41.8933203,12.4829321,"Rome, LAZ, Italy",,,,,,,,Rome,Roma Capitale,Lazio,LAZ,Italy,it,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111,111,Buffalo,United States,42.8867166,-78.8783922,"Buffalo, NY, United States of America",,,,,,,,Buffalo,Erie County,New York,NY,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
