original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,housenumber,street,suburb,postcode,county_code,district,state_code,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
2011,Kolhapur,India,16.7028412,74.2405329,"Kolhapur - 416003, MH, India",Kolhapur,,,,416003,,,MH,Kolhapur,Karvir,Maharashtra,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2012,Kearney,United States,40.699478,-99.081858,"Kearney, NE, United States of America",,,,,,,,NE,Kearney,Buffalo County,Nebraska,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2013,Taiping,Malaysia,4.8546772,100.7438831,"Larut, Matang and Selama, Taiping, Perak, Malaysia",Taiping,,,,34000,,"Larut, Matang and Selama",,Taiping,,Perak,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2014,Misicevo,Serbia,45.9950438,19.4901008,"Mišićevo (Mišićevo), Vojvodina, Serbia",Mišićevo,,,,,,,,Mišićevo,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2015,Kalisizo,Uganda,-0.3740227,31.4049837,"Kalisizo (Kalisizo), Lwengo, Uganda",Kalisizo,,,,,,,,Kalisizo,,Lwengo,Uganda,ug,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016,Kingston,Canada,44.230687,-76.481323,"Kingston, ON K7L 2Z3, Canada",Kingston,,,,K7L 2Z3,,,ON,Kingston,Kingston,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017,Jupiter,United States,26.9342246,-80.0942087,"Jupiter, Jupiter, FL, United States of America",,,,Jupiter,33458,,,FL,Jupiter,Palm Beach County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018,Culver City,United States,34.0211224,-118.396466,"Culver City, CA, United States of America",,,,,,,,CA,Culver City,Los Angeles County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019,Majadahonda,Spain,40.473055,-3.8724138,"Majadahonda, Madrid, Spain",,,,,,,,,Majadahonda,,Community of Madrid,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2020,Flagstaff,United States,35.1987522,-111.651822,"Flagstaff, AZ, United States of America",,,,,,,,AZ,Flagstaff,Coconino County,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021,Sari,Iran,36.5659626,53.0586327,"بخش مرکزی, Sari, Mazandaran Province, Iran",,,,,,,بخش مرکزی,,Sari,Sari County,Mazandaran Province,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022,Alor Setar,Malaysia,6.1231908,100.3683962,"Kota Setar, Alor Setar, Kedah, Malaysia",Alor Setar,,,,05100,,Kota Setar,,Alor Setar,,Kedah,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023,San Cristobal de las Casas,Mexico,16.735377,-92.63873,"29200 San Cristóbal, CHP, Mexico",San Cristóbal,,,,29200,,,CHP,San Cristóbal,San Cristóbal de las Casas,Chiapas,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2024,Itarema,Brazil,-2.9224684,-39.9152184,"Itarema - CE, 62590-000, Brazil",,,,,62590-000,,,CE,Itarema,Região Geográfica Intermediária de Sobral,Ceará,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2025,Monsenhor Tabosa,Brazil,-4.7879512,-40.063949,"Monsenhor Tabosa - CE, 63780-000, Brazil",,,,,63780-000,,,CE,Monsenhor Tabosa,Região Geográfica Intermediária de Crateús,Ceará,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2026,Burlington,United States,44.4761601,-73.212906,"Burlington, VT, United States of America",,,,,,,,VT,Burlington,Chittenden County,Vermont,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2027,Onsala,Sweden,57.4272188,12.0302702,"439 32 Onsala, Sweden",Onsala,,,,439 32,,,,Onsala,Halland County,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2028,Kadapa,India,14.4752936,78.8216861,"Kadapa - 516001, AP, India",Kadapa,,,,516001,,,AP,Kadapa,Kadapa,Andhra Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2029,Nice,France,43.7009358,7.2683912,"Nice, PAC, France",,,,,,,,PAC,Nice,Maritime Alps,Provence-Alpes-Côte d'Azur,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2030,Marietta,United States,33.9528472,-84.5496148,"Marietta, GA, United States of America",,,,,,,,GA,Marietta,Cobb County,Georgia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2031,Stockton on Tees,United Kingdom,54.564094,-1.3129164,"Stockton-on-Tees, ENG, United Kingdom",Stockton-on-Tees,,,,,STT,,ENG,Stockton-on-Tees,Stockton-on-Tees,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2032,Nainital,India,29.3905295,79.460869,"Nainital - 263003, UT, India",Nainital,,,,263003,,,UT,Nainital,Nainital,Uttarakhand,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2033,Chicago IL,United States,41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,,,,IL,Chicago,Cook County,Illinois,United States,us,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2034,Whitworth Park,United Kingdom,53.45905655,-2.229864372376081,"Whitworth Park, Chorlton-on-Medlock, Manchester, Greater Manchester, ENG, United Kingdom",Whitworth Park,,,Chorlton-on-Medlock,,,,ENG,Manchester,Greater Manchester,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2035,Hinxton,United Kingdom,52.0848693,0.1792608,"Hinxton (South Cambridgeshire), ENG, United Kingdom",,,,,,CAM,,ENG,South Cambridgeshire,Cambridgeshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2036,Rajpura,India,24.4288134,79.9117826490494,"Rajpura, Amanganj Tahsil, India",,,,,,,Rajpura,MP,,Amanganj Tahsil,Madhya Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2037,South Jakarta,Indonesia,-6.28381815,106.80486325728526,"South Jakarta, Special Capital Region of Jakarta, Java, Indonesia",,,,,,,South Jakarta,,Special Capital Region of Jakarta,,Java,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2038,Klecany,Czech Republic,50.1756713,14.4117052,"250 67 Klecany, Czechia",,,,,250 67,,,,Klecany,,Central Bohemia,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2039,Chitral,Pakistan,35.850889,71.7901897,"Chitral, KP, Pakistan",Chitral,,,,,,,KP,Chitral,Chitrāl District,Khyber Pakhtunkhwa,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2040,Liergues,France,45.9696676,4.6630252,"69400 Liergues (Porte des Pierres Dorées), France",,,,,69400,,,ARA,Porte des Pierres Dorées,Rhône,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2041,Midlothian,United Kingdom,55.833333,-3.083333,"Midlothian, SCT, UK",,,,,,MLN,,SCT,,Midlothian,Scotland,United Kingdom,gb,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2042,Hospitalet de Llobregat,Spain,41.3598601,2.0997927,"l'Hospitalet de Llobregat, Catalonia, Spain",,,,,,B,,,l'Hospitalet de Llobregat,Barcelonès,Catalonia,Spain,es,0.75,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2043,Mississauga,Canada,43.5896231,-79.6443879,"Mississauga, ON, Canada",,,,,,,,ON,Mississauga,Peel Region,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2044,Cagliari,Italy,39.2171994,9.113311,"Cagliari, Sardinia, Italy",,,,,,,,,Cagliari,Casteddu/Cagliari,Sardinia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2045,Ongole,India,15.5058714,80.0499454,"Ongole - 523002, AP, India",Ongole,,,,523002,,,AP,Ongole,Ongole,Andhra Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2046,Kanchipuram,India,12.836393,79.7053304,"Kanchipuram, TN, India",Kanchipuram,,,,631501,,Kanchipuram,TN,Kanchipuram,,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2047,Imizu,Japan,36.7304657,137.0753818,"Imizu, Japan",,,,,,,,,Imizu,Toyama Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2048,Barceona,Spain,40.091214,-3.459133,Spain,Spain,,,,,,,,,,,Spain,es,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2049,North Shields,United Kingdom,55.0087655,-1.4471035,"North Shields (North Tyneside), NE29 6QF, United Kingdom",North Shields,,,,NE29 6QF,,,ENG,North Tyneside,North of Tyne,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2050,Birtinya,Australia,-26.745231500000003,153.1143476506357,"Birtinya, Sunshine Coast Regional, QLD, Australia",,,,,,,Birtinya,QLD,Sunshine Coast Regional,,Queensland,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2051,Sippy Downs,Australia,-26.7257935,153.07837089055133,"Sippy Downs, Sunshine Coast Regional, QLD, Australia",,,,,,,Sippy Downs,QLD,Sunshine Coast Regional,,Queensland,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2052,Thiruvananthapuram,India,8.4882267,76.947551,"Thiruvananthapuram - 695001, KL, India",Thiruvananthapuram,,,,695001,,,KL,Thiruvananthapuram,Thiruvananthapuram,Kerala,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2053,,Trinidad and Tobago,10.7466905,-61.0840075,Trinidad and Tobago,,,,,,,,,,,,Trinidad and Tobago,tt,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2054,Daugavpils,Latvia,55.8712267,26.5159337,"Daugavpils, Latvia",,,,,,,,,Daugavpils,,,Latvia,lv,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2055,Trnava,Slovakia,48.3767652,17.5858175,"Trnava, Slovakia",,,,,,,,,Trnava,District of Trnava,Region of Trnava,Slovakia,sk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2056,Rio,Greece,38.3018989,21.782579,"Rio, Municipality of Patras, Peloponnese, Western Greece and the Ionian, Greece",Rio,,,Rio,264 43,,Municipal Unit of Rio,,Municipality of Patras,Achaia Regional Unit,"Peloponnese, Western Greece and the Ionian",Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2057,Iztapalapa,Mexico,19.3591195,-99.0929294,"Iztapalapa, Mexico City, Mexico",,,,Iztapalapa,,,,,Mexico City,,,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2058,Fort Belvoir,United States,38.72821225,-77.15098291295884,"Fort Belvoir, Fairfax County, VA, United States of America",Fort Belvoir,,,Fort Belvoir,22060,,,VA,,Fairfax County,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2059,Klerksdorp,South Africa,-26.8625383,26.6656814,"Klerksdorp, 2570, South Africa",Klerksdorp,,,,2570,,,,Klerksdorp,Dr Kenneth Kaunda District Municipality,North West,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2060,Hlabisa,South Africa,-28.145833,31.875278,"Hlabisa (Hlabisa Local Municipality), 3997, South Africa",Hlabisa,,,,3997,,,NL,Hlabisa Local Municipality,Umkhanyakude District Municipality,KwaZulu-Natal,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2061,Keelung,Taiwan,25.1317232,121.744652,"Keelung, Taiwan",,,,,,,,,Keelung,,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2062,Kaneohe,United States,21.418555,-157.804184,"Kaneohe, HI 96744, United States of America",Kaneohe,,,,96744,,,HI,Kaneohe,Honolulu County,Hawaii,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2063,Kunigami,Japan,26.761436,128.256568,"Kunigami, Japan",,,,,,,,,Kunigami,Kunigami,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2064,Nago,Japan,26.5919599,127.9774759,"Nago, 905-8540, Japan",,,,,905-8540,,,,Nago,Okinawa Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2065,Thuwal,Saudi Arabia,22.2833454,39.1128145,"Thuwal 23955-6900, Saudi Arabia",Thuwal,,,,23955-6900,,,,Thuwal,Governorate of Jidda,Makkah Region,Saudi Arabia,sa,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2066,Sandakan,Malaysia,5.8391274,118.1158598,"90008 Sandakan, Sabah, Malaysia",Sandakan,,,,90008,,,,Sandakan,Sandakan District,Sabah,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2067,Sausalito,United States,37.8590272,-122.485469,"Sausalito, CA 94965, United States of America",,,,,94965,,,CA,Sausalito,Marin County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2068,Korolevu,Fiji,-18.2140676,177.7305987,"Korolevu (Korolevu), Western, Fiji",Korolevu,,,,,,,,Korolevu,Nadroga-Navosa,Western,Fiji,fj,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2069,Yibin,China,28.7555245,104.6406023,"Xuzhou District, Yibin, Sichuan, China",Yibin,,,,,,Xuzhou District,,Yibin,,Sichuan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2070,Meishan,China,30.079061,103.8458201,"Dongpo District, Meishan, Sichuan, China",Meishan,,,,,,Dongpo District,,Meishan,,Sichuan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2071,Palangka Raya,Indonesia,-2.2072919,113.9164372,"Palangka Raya, Central Kalimantan, Indonesia",,,,,,,,,Palangka Raya,,Central Kalimantan,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2072,Kazan,Russian Federation,55.7823547,49.1242266,"Kazan, Tatarstan, Russia",,,,,,,,,Kazan,,Tatarstan,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2073,Kozhikode,India,11.2450558,75.7754716,"Kozhikode - 673001, KL, India",Kozhikode,,,,673001,,,KL,Kozhikode,Kozhikode,Kerala,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2074,Hamamatsu,Japan,34.7109786,137.7259431,"Hamamatsu, Japan",,,,,,,,,Hamamatsu,Shizuoka Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2075,List,Germany,52.3961351,9.7570513,"List, Hanover, Lower Saxony, Germany",,,,List,,,Vahrenwald-List,,Hanover,Region Hannover,Lower Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2076,Nakhon Nayok,Thailand,14.203647,101.2147087,"Nakhon Nayok, Nakhon Nayok Province, Thailand",Nakhon Nayok,,,,,,,,Nakhon Nayok,,Nakhon Nayok Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2077,Nakorn Nayok,Thailand,14.215938,101.187452,"Nakhon Nayok, Thailand",,,,,,,,,Nakhon Nayok,Nakhon Nayok,Nakhon Nayok,Thailand,th,0.6666666666666666,0.6666666666666666,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2078,Taxila,Pakistan,33.7474551,72.8073364,"Taxila 47080, Pakistan",Taxila,,,,47080,,,PB,Taxila,Rawalpindi District,Punjab,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2079,Mathura,India,27.4955539,77.6855554,"Mathura - 281001, UP, India",Mathura,,,,281001,,,UP,Mathura,Mathura District,Uttar Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2080,Hengyang,China,26.8971308,112.5666191,"Hengyang, Hunan, China",,,,,,,,,Hengyang,,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2081,Dongguan,China,23.0205969,113.7457788,"Dongguan, Guangdong Province, China",,,,,,,,,Dongguan,,Guangdong Province,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2082,Miao-li,Taiwan,24.5692318,120.8222649,"Miaoli, 1 為公路, Miaoli City 36001, Taiwan",Miaoli,1,為公路,,36001,,Shangmiao Village,,Miaoli City,Miaoli County,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2083,Wuyishan,China,27.7590448,118.0297688,"354300 Fujian, China",,,,,354300,,,,Wuyishan,,Fujian,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2084,Al Kharj,Saudi Arabia,24.054055,47.507628,"Al Kharj, Riyadh, Saudi Arabia",,,,,,,,,Al Kharj,Al-Kharj,Riyadh,Saudi Arabia,sa,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2085,Taif,Saudi Arabia,21.2702801,40.4158308,"At Ta'if 26511, Saudi Arabia",At Ta'if,,,,26511,,,,At Ta'if,Al Taif,Makkah Region,Saudi Arabia,sa,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2086,Liaocheng,China,36.4441808,115.9642007,"252000 Shandong, China",,,,,252000,,,,Liaocheng,,Shandong,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2087,Amritsar,India,31.6343083,74.8736788,"Amritsar - 143001, PB, India",Amritsar,,,,143001,,,PB,Amritsar,Amritsar I Tahsil,Punjab,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2088,Ohkawa,Japan,35.6779441,139.6777543,"OHKAWA, 六号通り, Hatagaya, Shibuya, Hatagaya 2 151-0072, Japan",OHKAWA,,六号通り,Hatagaya,151-0072,,Hatagaya 2,,Shibuya,,,Japan,jp,0.25,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2089,Campobasso,Italy,41.5597935,14.6602725,"Campobasso, MOL, Italy",,,,,,CB,,MOL,Campobasso,Campobasso,Molise,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2090,Middlesex,United Kingdom,52.663642,-1.580326,United Kingdom,United Kingdom,,,,,,,,,,,United Kingdom,gb,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2091,Popayan,Colombia,2.4422295,-76.6072368,"Popayán, CAU, Colombia",,,,,,,,CAU,Popayán,Centro,Cauca,Colombia,co,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2092,Mississippi State,United States,33.4386876,-88.79432320417112,"Mississippi State University, 75 South Farm Road, Oktibbeha County, MS 39762, United States of America",Mississippi State University,75,South Farm Road,,39762,,,MS,,Oktibbeha County,Mississippi,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2093,Sopron,Hungary,47.6803063,16.5983457,"Sopron, Western Transdanubia, Hungary",,,,,,,,,Sopron,Győr-Moson-Sopron,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2094,Marne-la-Vallee,France,48.859298,2.5989048,"Marne-la-Vallée, 77420 Champs-sur-Marne, France",Marne-la-Vallée,,,,77420,,,IDF,Champs-sur-Marne,Seine-et-Marne,Ile-de-France,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2095,Luneburg,Germany,53.248706,10.407855,"Lüneburg, Lower Saxony, Germany",,,,,,,,,Lüneburg,Lüneburg,Lower Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2096,Gqeberha,South Africa,-33.9618359,25.6186512,"Gqeberha, 6006, South Africa",Gqeberha,,,,6006,,,EC,Gqeberha,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2097,Valdivia,Chile,-39.8141262,-73.2459859,"Valdivia, Los Ríos Region, Chile",,,,,,,,,Valdivia,Provincia de Valdivia,Los Ríos Region,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2098,Hod HaSharon,Israel,32.1561974,34.8930354,"Hod HaSharon, Center District, Israel",,,,,,,,,Hod HaSharon,Petah Tikva Subdistrict,Center District,Israel,il,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2099,Karur,India,10.9596041,78.0807797,"Karur, TN, India",Karur,,,,,,,TN,Karur,Karur,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2100,Erode,India,11.3306483,77.7276519,"Erode - 638001, TN, India",Erode,,,,638001,,,TN,Erode,Erode,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2101,Amaravati,India,16.5096679,80.5184535,"Amaravati, AP, India",,,,,,,,AP,Amaravati,Thullur,Andhra Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2102,Sathyamangalam,India,10.4807146,78.7701246,"Sathyamangalam (Sathyamangalam), TN, India",Sathyamangalam,,,,,,,TN,Sathyamangalam,Kulathur taluk,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2103,Richland,United States,46.2804298,-119.275205,"Richland, WA, United States of America",,,,,,,,WA,Richland,Benton County,Washington,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2104,M'sila,Algeria,35.7087553,4.5371552,"28000 M'sila, Algeria",,,,,28000,,,,M'sila,M'Sila District,M'Sila,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2105,San'yo-Onoda,Japan,34.0030045,131.1819289,"Sanyo-Onoda, Japan",,,,,,,,,Sanyo-Onoda,Yamaguchi Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2106,Banphaeo,Thailand,15.512883,101.301707,Thailand,Thailand,,,,,,,,,,,Thailand,th,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2107,Taungoo,Myanmar,18.9402101,96.4332782,"Taungoo Township, 08101, Myanmar",,,,,08101,,,,Taungoo Township,East Bago Region,Bago Region,Myanmar,mm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2108,Minas Gerais,Brazil,-18.865186,-48.265278,"Minas Gerais, Uberlândia, MG, Brazil",,,,Minas Gerais,38402-180,,Setor Norte,MG,Uberlândia,Região Geográfica Intermediária de Uberlândia,Minas Gerais,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2109,Nizwa,Oman,22.9323884,57.5311,"611, Nizwa, Ad Dakhiliyah Governorate, Oman",Nizwa,,,,611,,,,Nizwa,,Ad Dakhiliyah Governorate,Oman,om,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
