original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,street,suburb,name,county,county_code,postcode,state_code,city,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
520,Havana,Cuba,23.135305,-82.3589631,"Havana, 10000, Cuba",,,,,Havana,La Habana Vieja,,10000,,Havana,Havana,Cuba,cu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
521,Taichung,Taiwan,24.163162,120.6478282,"Taichung, Taiwan",,,,,,,,,,Taichung,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
522,Braunschweig,Germany,52.272012,10.625469,"Cremlingen (Braunschweig), Lower Saxony, Germany",Cremlingen,,,,,Wolfenbuttel,,,,Braunschweig,Lower Saxony,Germany,de,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
523,Essen,Germany,51.4582235,7.0158171,"Essen, North Rhine-Westphalia, Germany",,,,,,,,,,Essen,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
524,Hong Kong,China,22.2793278,114.1628131,"Hong Kong Island, Hong Kong, China",,,,,,,,,,Hong Kong Island,Hong Kong,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
525,Chang-Hua,China,23.1209332,113.22440802621475,"广东电器市场, Changhua, Liwan District, Guangdong Province, China",,,,Changhua,广东电器市场,,,,,Liwan District,Guangdong Province,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
526,Burnaby,Canada,49.2433804,-122.972545,"Burnaby, BC, Canada",,,,,,Metro Vancouver Regional District,,,BC,Burnaby,British Columbia,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
527,Tempe,United States,33.4255117,-111.940016,"Tempe, AZ, United States of America",,,,,,Maricopa County,,,AZ,Tempe,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
528,Las Vegas,United States,36.1672559,-115.148516,"Las Vegas, NV, United States of America",,,,,,Clark County,,,NV,Las Vegas,Nevada,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
529,Reno,United States,39.5261206,-119.8126581,"Reno, NV, United States of America",,,,,,Washoe County,,,NV,Reno,Nevada,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
530,Egham,United Kingdom,51.4312585,-0.5473085,"Egham, Runnymede, ENG, United Kingdom",,,,,Egham,Surrey,SRY,,ENG,Borough of Runnymede,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
531,Xi'an,China,34.2610007,108.9423792,"Xi'an, Shaanxi, China",,,,,,,,,,Xi'an,Shaanxi,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
532,Reading,United Kingdom,51.4564242,-0.9700664,"yes, Reading, ENG, United Kingdom",yes,,,,,,,,ENG,Reading,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
533,Zaragoza,Spain,41.6521342,-0.8809428,"Zaragoza, Aragon, Spain",,,,,,Zaragoza,Z,,,Zaragoza,Aragon,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
534,Jerusalem,Israel,31.7788242,35.2257626,"Jerusalem, Jerusalem District, Israel",,,,,,Jerusalem Subdistrict,,,,Jerusalem,Jerusalem District,Israel,il,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
535,Bremen,Germany,53.0758196,8.8071646,"Bremen, Free Hanseatic City of Bremen, Germany",,,,,,,,,,Bremen,Free Hanseatic City of Bremen,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
536,Bandung,Indonesia,-7.4419024,112.3956465,"Bandung, East Java, Indonesia",,,,,,Mojokerto,,,,Bandung,East Java,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
537,Linkoping,Sweden,58.4098135,15.6245252,"582 23 Linköping, Sweden",,,,,Linköping,Östergötland County,,582 23,,Linköping,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
538,Ayuthaya,Thailand,14.371668,100.563372,"Phra Nakhon Si Ayutthaya, Thailand",,,,,,Phra Nakhon Si Ayutthaya,,,,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,th,0.20003759999999998,0.20003759999999998,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
539,Thimphu,Bhutan,27.4713546,89.6336729,"Thimphu 11001, Bhutan",,,,,Thimphu,Chang Gewog,,11001,,Thimphu,Thimphu District,Bhutan,bt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
540,Thimbu,Bhutan,27.4713546,89.6336729,"Thimphu 11001, Bhutan",,,,,Thimphu,Chang Gewog,,11001,,Thimphu,Thimphu District,Bhutan,bt,0.6428571428571429,0.6428571428571429,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
541,Phuentsholing,Bhutan,26.8639605,89.3837363,"Phuntsholing, Dzongkhag Thromde, Chukha, Bhutan",,,,,Phuntsholing,Phuentshogling Gewog,,,,Dzongkhag Thromde,Chukha,Bhutan,bt,0.8307692307692308,0.8307692307692308,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
542,Besancon,France,47.2380222,6.0243622,"25000 Besançon, France",,,,,,Doubs,,25000,BFC,Besançon,Bourgogne-Franche-Comté,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
543,Dubai,United Arab Emirates,25.2653471,55.2924914,"Dubai, United Arab Emirates",,,,,Dubai,,,,,Dubai,Dubai,United Arab Emirates,ae,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
544,Narashino,Japan,35.670572,140.018956,"Narashino, Japan",,,,,,Chiba Prefecture,,,,Narashino,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
545,Shah Alam,Malaysia,3.0739429,101.5185278,"Petaling, Shah Alam, Selangor, Malaysia",Petaling,,,,,,,,,Shah Alam,Selangor,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
546,Samut Songkhram,Thailand,13.4086617,100.000494,"Bang Khonthi District, Samut Songkhram, Samut Songkhram Province, Thailand",Bang Khonthi District,,,,Samut Songkhram,,,75000,,Samut Songkhram,Samut Songkhram Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
547,Shizuoka,Japan,34.979149,138.38299,"Shizuoka, 420-8602, Japan",,,,,,Shizuoka Prefecture,,420-8602,,Shizuoka,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
548,Worcester,United States,42.2625621,-71.8018877,"Worcester, MA, United States of America",,,,,,Worcester County,,,MA,Worcester,Massachusetts,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
549,Parsippany,United States,40.8578772,-74.4259866,"Parsippany (Parsippany-Troy Hills), NJ 07054, United States of America",,,,,Parsippany,Morris County,,07054,NJ,Parsippany-Troy Hills,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
550,Udon Thani,Thailand,17.4082448,102.7868105,"Udon Thani, Udon Thani Province, Thailand",,,,,Udon Thani,,,,,Udon Thani,Udon Thani Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
551,Kelaniya,Sri Lanka,6.9501246,79.9172715,"Kelaniya 11600, Sri Lanka",,,,,Kelaniya,Colombo District,,11600,,Kelaniya,Western Province,Sri Lanka,lk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
552,Iloilo,Philippines,10.6926985,122.5736783,"Iloilo City, 5000 Western Visayas, Philippines",,,,,,,,5000,,Iloilo City,Western Visayas,Philippines,ph,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
553,Davao,Philippines,7.0648306,125.6080623,"Davao City, Davao Region, Philippines",,,,,,,,,,Davao City,Davao Region,Philippines,ph,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
554,Baguio City,Philippines,16.4119955,120.593371,"Baguio, 2600 Cordillera Administrative Region, Philippines",,,,,,,,2600,,Baguio,Cordillera Administrative Region,Philippines,ph,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
555,Leeds,United Kingdom,53.7974185,-1.5437941,"Leeds, ENG, United Kingdom",,,,,,West Yorkshire,,,ENG,Leeds,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
556,Addis Ababa,Ethiopia,9.0358287,38.7524127,"3578 Addis Ababa, Ethiopia",,,,,Addis Ababa,Arada,,3578,,Addis Ababa,Addis Ababa,Ethiopia,et,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
557,Orsay,France,48.699184,2.187457,"91400 Orsay, France",,,,,,Essonne,,91400,IDF,Orsay,Ile-de-France,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
558,Aurora,United States,41.7571701,-88.3147539,"Aurora, IL, United States of America",,,,,,Kane County,,,IL,Aurora,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
559,Cork,Ireland,51.897077,-8.4654674,"Cork, M, Ireland",,,,,,County Cork,CO,,M,Cork,Munster,Ireland,ie,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
560,Dhaka,Bangladesh,23.7644025,90.389015,"Dhaka - 1215, Bangladesh",,,,,Dhaka,Dhaka District,,1215,,Dhaka,Dhaka Division,Bangladesh,bd,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
561,Varna,Bulgaria,43.2073873,27.9166653,"Varna, Bulgaria",,,,,,Varna,,,,Varna,,Bulgaria,bg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
562,Okinawa,Japan,26.3343738,127.8056597,"Okinawa, Japan",,,,,,Okinawa Prefecture,,,,Okinawa,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
563,Mie,Japan,35.4144578,133.7694955,"Mie, Kurayoshi, Japan",Mie,,,,Mie,Tottori Prefecture,,682-0925,,Kurayoshi,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
564,Ljubljana,Slovenia,46.0500268,14.5069289,"Ljubljana, Slovenia",,,,,,,,,,Ljubljana,,Slovenia,si,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
565,Inuyama,Japan,35.3609734,136.9845491,"Inuyama, Japan",,,,,,Aichi Prefecture,,,,Inuyama,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
566,Sungai Buloh,Malaysia,3.21,101.55,"Sungai Buloh, Petaling, Shah Alam, Selangor, Malaysia",Petaling,,,,Sungai Buloh,,,40160,,Shah Alam,Selangor,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
567,Bali,Indonesia,-7.962132,112.753241,"Bali (Jabung) 65155, East Java, Indonesia",,,,,Bali,Kabupaten Malang,,65155,,Jabung,East Java,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
568,Kensington,Australia,-33.9117191,151.2195058,"Kensington, Sydney, NSW, Australia",,,,Kensington,,,,2033,NSW,Sydney,New South Wales,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
569,Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, G2 1DY, United Kingdom",,,,,Glasgow,Glasgow City,GLG,G2 1DY,SCT,Glasgow,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
570,Karachi,Pakistan,24.8546842,67.0207055,"Karachi Division, SD, Pakistan",,,,,,,,,SD,Karachi Division,Sindh,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
571,Lausanne,Switzerland,46.5218269,6.6327025,"Lausanne, VD, Switzerland",,,,,,District de Lausanne,,,VD,Lausanne,Vaud,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
572,Amsterdam,Netherlands,52.3730796,4.8924534,"Amsterdam, NH, Netherlands",,,,,,,,,NH,Amsterdam,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
573,Canberra,Australia,-35.2975906,149.1012676,"District of Canberra Central, Canberra, Australia",District of Canberra Central,,,,Canberra,,,2601,,Canberra,,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
574,Minden,Malaysia,2.521947,113.833569,Malaysia,,,,,Malaysia,,,,,,,Malaysia,my,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
575,Lima,Peru,-12.0621065,-77.0365256,"Lima Metropolitan Area, LIM, Peru",,,,,,,,,LIM,Lima Metropolitan Area,Lima,Peru,pe,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
576,Fairfax,United States,38.8462236,-77.3063733,"Fairfax, VA 20030, United States of America",,,,,,,,20030,VA,Fairfax,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
577,Darwin,Australia,-12.46044,130.8410469,"Darwin 0800, Australia",,,,,Darwin,City of Darwin,,0800,,Darwin,,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
578,Alexandria,United States,38.8051095,-77.0470229,"Alexandria, VA, United States of America",,,,,,,,,VA,Alexandria,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
579,Bo,Sierra Leone,7.962065,-11.73665,"Bo, Bo District, Sierra Leone",,,,,Bo,,,,,Bo,Bo District,Sierra Leone,sl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
580,Washington,United States,38.8950368,-77.0365427,"Washington, DC, United States of America",,,,,,,,,DC,Washington,District of Columbia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
581,Rajshahi,Bangladesh,24.3715513,88.5921038,"Rajshahi - 6000, Bangladesh",,,,,Rajshahi,Rajshahi Metro,,6000,,Rajshahi,Rajshahi Division,Bangladesh,bd,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
582,Carbondale,United States,37.7274692,-89.216655,"Carbondale, IL 62901, United States of America",,,,,,Jackson County,,62901,IL,Carbondale,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
583,Osakasayama,Japan,34.503879,135.549966,"Osakasayama, Osaka Prefecture, Japan",,,,,,,,,,Osakasayama,Osaka Prefecture,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
584,Chachoengsao,Thailand,13.6891784,101.0708268,"Chachoengsao, Chachoengsao Province 24000, Thailand",,,,,Chachoengsao,,,24000,,Chachoengsao,Chachoengsao Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
585,Lviv,Ukraine,49.841952,24.0315921,"Lviv Raion, Lviv, Lviv Oblast, Ukraine",Lviv Raion,,,,,,,,,Lviv,Lviv Oblast,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
586,Beerse,Belgium,51.313529599999995,4.83753463479851,"Beerse, Antwerp, Belgium",Beerse,,,,,Turnhout,,2340,,Beerse,Antwerp,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
587,Dinant,Belgium,50.2591813,4.9130588,"Dinant, WNA, Belgium",,,,,,Dinant,,,WNA,Dinant,Namur,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
588,Bellinzona,Switzerland,46.1920538,9.0205888,"Bellinzona, TI, Switzerland",,,,,,Distretto di Bellinzona,,,TI,Bellinzona,Ticino,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
589,Edmonton,Canada,53.5462055,-113.491241,"Edmonton, AB, Canada",,,,,Edmonton,Division No. 11,,,AB,Edmonton,Alberta,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
590,Titusville,United States,28.6122187,-80.8075538,"Titusville, FL, United States of America",,,,,,Brevard County,,,FL,Titusville,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
591,Gdańsk,Poland,54.3482907,18.6540233,"Gdansk, Pomeranian Voivodeship, Poland",,,,,,,,,,Gdansk,Pomeranian Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
592,Nizhny Novgorod,Russian Federation,56.3264816,44.0051395,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia",,,,,Nizhny Novgorod,Nizhny Novgorod,,,,Nizhny Novgorod,Nizhny Novgorod Oblast,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
593,Lodz,Poland,51.7687323,19.4569911,"Łódź, Łódzkie Voivodship, Poland",,,,,,,,,,Łódź,Łódzkie Voivodship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
594,Donetsk,Ukraine,48.0158753,37.8013407,"Donetsk, 83000-83490, Ukraine",,,,,,,,83000-83490,,Donetsk,Donetsk Oblast,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
595,Morristown,United States,36.2139814,-83.2948923,"Morristown, TN, United States of America",,,,,,Hamblen County,,,TN,Morristown,Tennessee,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
596,Kawachi District,Japan,35.8845477,140.2446262,"Kawachi, Japan",,,,,,Inashiki County,,,,Kawachi,,Japan,jp,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
597,Al Ain,United Arab Emirates,24.2248697,55.7452211,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",,,,,Al Ain,Al Ain,,,,Al Ain,Abu Dhabi Emirate,United Arab Emirates,ae,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
598,Patra,Greece,38.246242,21.7350847,"Municipality of Patras, Peloponnese, Western Greece and the Ionian, Greece",,,,,,Achaia Regional Unit,,,,Municipality of Patras,"Peloponnese, Western Greece and the Ionian",Greece,gr,0.75,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
599,Morgantown,United States,39.6296809,-79.9559437,"Morgantown, WV, United States of America",,,,,,Monongalia County,,,WV,Morgantown,West Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
600,Petchaburi,Thailand,13.1052914,99.9475297,"Phetchaburi, Phetchaburi Province 76000, Thailand",,,,,Phetchaburi,,,76000,,Phetchaburi,Phetchaburi Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
601,Kelowna,Canada,49.8879177,-119.495902,"Kelowna, BC, Canada",,,,,,Regional District of Central Okanagan,,,BC,Kelowna,British Columbia,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
602,Belmont,United States,42.2231241,-78.0344506,"Belmont, NY, United States of America",,,,,,Allegany County,,,NY,Belmont,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
603,Kosice,Slovakia,48.7172272,21.2496774,"Košice, Slovakia",,,,,,,,,,Košice,Region of Košice,Slovakia,sk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
604,Durban,South Africa,-29.861825,31.009909,"Durban, 4057, South Africa",,,,,Durban,eThekwini Metropolitan Municipality,,4057,NL,Durban,KwaZulu-Natal,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
605,Hove,United Kingdom,50.8286917,-0.1745744,"Hove, BN3 2AD, United Kingdom",,,,,Hove,Brighton and Hove,BNH,BN3 2AD,ENG,Hove,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
606,,Kenya,1.4419683,38.4313975,Kenya,,,,,,,,,,,,Kenya,ke,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
607,Regensburg,Germany,49.0195333,12.0974869,"Regensburg, Bavaria, Germany",,,,,,,,,,Regensburg,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
608,Scottsdale,United States,33.4942189,-111.926018,"Scottsdale, AZ, United States of America",,,,,,Maricopa County,,,AZ,Scottsdale,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
609,Tampa,United States,27.9477595,-82.458444,"Tampa, FL, United States of America",,,,,,Hillsborough County,,,FL,Tampa,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,Lancaster,United Kingdom,54.0484068,-2.7990345,"Lancaster, ENG, United Kingdom",,,,,,Lancashire,LAN,,ENG,Lancaster,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
611,Ningbo,China,29.8622194,121.6203873,"Ningbo, Zhejiang, China",,,,,,,,,,Ningbo,Zhejiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
612,Yusong,South Korea,37.0001006,127.9004257,"Yusong-ri (Chungju-si), 27438, South Korea",,,,,Yusong-ri,North Chungcheong,,27438,,Chungju-si,,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
613,Regina,Canada,50.44876,-104.61731,"Regina, SK, Canada",,,,,,Division No. 6,,,SK,Regina,Saskatchewan,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
614,Wangdue Phodrang,Bhutan,27.4883053,89.9006295,"Dzonkhag Thromde, Wangdue Phodrang District, Bhutan",,,,,Wangdue Phodrang,Thedtsho Gewog,,,,Dzonkhag Thromde,Wangdue Phodrang District,Bhutan,bt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
