original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,street,housenumber,name,postcode,suburb,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
1533,Kyiv,Ukraine,50.4500336,30.5241361,"Kyiv, Ukraine",,,,,,,Kyiv,,,,,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1534,Bielefeld,Germany,52.0191005,8.531007,"Bielefeld, North Rhine-Westphalia, Germany",,,,,,,Bielefeld,,,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1535,Temuco,Chile,-38.7362611,-72.590546,"Temuco, Araucanía Region, Chile",,,,,,,Temuco,Provincia de Cautín,,Araucanía Region,,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1536,Kofu,Japan,35.6652481,138.5710441,"Kofu, Japan",,,,,,,Kofu,Yamanashi Prefecture,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1537,Pocatello,United States,42.8620287,-112.450627,"Pocatello, ID, United States of America",,,,,,,Pocatello,Bannock County,,Idaho,ID,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1538,Rethymnon,Greece,35.3676472,24.4736079,"741 31 Rethymnon, Greece",,,Rethymnon,741 31,,,Rethymnon,Rethymno Regional Unit,,Region of Crete,,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1539,La Paz,Bolivia,-16.4955455,-68.1336229,"La Paz, L, Bolivia",,,,,,,La Paz,Pedro Domingo Murillo,,La Paz,L,Bolivia,bo,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1540,Tuscaloosa Northport,United States,33.23768,-87.57444,"Northport, AL, United States of America",,,,,,,Northport,Tuscaloosa County,,Alabama,AL,United States,us,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1541,,Greece,38.9953683,21.9877132,Greece,,,,,,,,,,,,Greece,gr,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1542,Tifton,United States,31.4549719,-83.5108284,"Tifton, GA, United States of America",,,,,,,Tifton,Tift County,,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1543,Tbilisi,United States,39.71614,-96.999246,United States,,,United States,,,,,,,,,United States,us,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1544,Ayudhya,Thailand,14.371668,100.563372,"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya,,Thailand,th,0.2857142857142857,0.2857142857142857,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1545,Sunderland,United Kingdom,54.9058512,-1.3828727,"yes, Sunderland, ENG, United Kingdom",,,,,,yes,Sunderland,North East,,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1546,Mbale,Uganda,0.1255889,32.7614297,"Mbale (Mbale), Mukono, Uganda",,,Mbale,,,,Mbale,,,Mukono,,Uganda,ug,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1547,Dammam,Saudi Arabia,26.4367824,50.1039991,"Dammam 31451, Saudi Arabia",,,Dammam,31451,,,Dammam,Dammam Governorate,,Eastern Province,,Saudi Arabia,sa,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1548,Semenyih,Malaysia,2.9473911,101.8459911,"Semenyih, Hulu Langat, Kajang Municipal Council, Selangor, Malaysia",,,Semenyih,43500,,Hulu Langat,Kajang Municipal Council,,,Selangor,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1549,Birjand,Iran,32.8633961,59.2177294,"Birjand County Central District, Birjand, South Khorasan Province, Iran",,,,,,Birjand County Central District,Birjand,Birjand County,,South Khorasan Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1550,West Roxbury,United States,42.2792649,-71.1494972,"West Roxbury, Boston, MA, United States of America",,,West Roxbury,02132,West Roxbury,,Boston,Suffolk County,,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1551,Macquarie Park,Australia,-33.7814961,151.1256747,"Macquarie Park, Sydney, NSW, Australia",,,,2113,Macquarie Park,,Sydney,,,New South Wales,NSW,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1552,Winston Salem,United States,36.0998131,-80.2440518,"Winston-Salem, NC, United States of America",,,,,,,Winston-Salem,Forsyth County,,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1553,Danderyd,Sweden,59.4043647,18.0358505,"Danderyds kommun, Sweden",,,,,,,Danderyds kommun,Stockholm County,,,,Sweden,se,0.504,0.504,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1554,Taipa,Macao,22.1573804,113.5601035,"Taipa, Macau, China",,,,,,,Taipa,,,Macau,,China,cn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1555,Chicoutimi-Jonquiere,Canada,48.4286352,-71.0637121,"Chicoutimi, Saguenay, QC, Canada",,,Chicoutimi,G7H 1P6,Chicoutimi,,Saguenay,,,Quebec,QC,Canada,ca,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1556,Florianopolis,Brazil,-27.5973002,-48.5496098,"Florianópolis, SC, Brazil",,,,,,,Florianópolis,,,Santa Catarina,SC,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1557,Winnipeg,Canada,49.8955367,-97.1384584,"Winnipeg, MB, Canada",,,,,,,Winnipeg,Division No. 11,,Manitoba,MB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1558,Asahikawa,Japan,43.770625,142.3649743,"Asahikawa, Kamikawa Subprefecture, Japan",,,,,,,Asahikawa,Hokkaido Prefecture,,Kamikawa Subprefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1559,Izumo,Japan,35.3668891,132.7548827,"Izumo, Japan",,,,,,,Izumo,Shimane Prefecture,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1560,Brest,France,48.3905283,-4.4860088,"29200 Brest, France",,,,29200,,,Brest,Finistère,,Brittany,BRE,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1561,Ramat Gan,Israel,32.0686867,34.8246812,"Ramat Gan, Tel-Aviv District, Israel",,,,,,,Ramat Gan,Tel Aviv Subdistrict,,Tel-Aviv District,,Israel,il,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1562,Oberwil-Zug,Switzerland,47.1489616,8.5087672,"6317 Oberwil (Zug), Switzerland",,,Oberwil,6317,,,Zug,,,Zug,ZG,Switzerland,ch,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1563,Dgo,Mexico,24.833333,-104.833333,"Durango, Mexico",,,,,,,,,,Durango,DUR,Mexico,mx,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1564,Sabah,Malaysia,5.4257359,117.0326392,"Sabah, Malaysia",,,,,,,,,,Sabah,,Malaysia,my,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1565,Guildford,United Kingdom,51.2356068,-0.5732063,"Guildford, ENG, United Kingdom",,,,,,,Guildford,Surrey,SRY,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1566,Birmingham,United States,33.5206824,-86.8024326,"Birmingham, AL, United States of America",,,,,,,Birmingham,Jefferson County,,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1567,Vicenza,Italy,45.5488306,11.5478825,"36100 Vicenza, Italy",,,,36100,,,Vicenza,Vicenza,VI,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1568,Dundee,United Kingdom,56.4605938,-2.97019,"Dundee, DD1 1SG, United Kingdom",,,Dundee,DD1 1SG,,,Dundee,Dundee City,DND,Scotland,SCT,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1569,Brasilia,Brazil,-15.7934036,-47.8823172,"Brasília - Federal District, 70077-900, Brazil",,,Brasília,70077-900,,,Brasília,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,,Federal District,,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1570,Dasmarinas,Philippines,14.3270819,120.9370871,"Dasmariñas, Cavite, Philippines",,,,,,,Dasmariñas,,,Cavite,,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1571,Pasig,Philippines,14.5605166,121.0764343,"Pasig, Metro Manila, Philippines",,,,,,,Pasig,Eastern Manila District,,Metro Manila,,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1572,Xinyang,China,32.1461721,114.0852134,"Pingqiao District, Xinyang, Henan, China",,,Xinyang,,,Pingqiao District,Xinyang,,,Henan,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1573,Sanandaj,Iran,35.3126047,46.9978639,"بخش مرکزی, Sanandaj, Kurdistan Province, Iran",,,,,,بخش مرکزی,Sanandaj,Sanandaj County,,Kurdistan Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1574,Battambang,Cambodia,13.0998526,103.1966659,"Battambang 021402, Cambodia",,,Battambang,021402,,,Battambang,Battambang Municipality,,Battambang,,Cambodia,kh,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1575,Lalitpur,Nepal,27.6767339,85.316805,"Lalitpur, Bagmati Province 44707, Nepal",,,Lalitpur,44707,,,Lalitpur,Lalitpur,,Bagmati Province,,Nepal,np,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1576,"Washington, D.C.",Kyrgyzstan,40.93749,73.36083,"Kyrgyzstan, Osh",,,,,,,Kyrgyzstan,Uzgen,,Osh,,Kyrgyzstan,kg,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1577,Dehradun,India,30.3255646,78.0436813,"Dehradun - 248001, UT, India",,,Dehradun,248001,,,Dehradun,Dehradun,,Uttarakhand,UT,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1578,Mondragon,Spain,27.9087381,-15.4379824,"35260 Mondragón (Ingenio), Spain",,,Mondragón,35260,,,Ingenio,Las Palmas,GC,,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1579,Levanger,Norway,63.696451800000006,11.223880440465752,"Levanger, Norway",,,,,,,Levanger,Trøndelag,,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1580,Liberec,Czech Republic,50.7702648,15.0583947,"Liberec, Northeast, Czechia",,,,,,,Liberec,Liberecký kraj,,Northeast,,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1581,Buraidah,Saudi Arabia,26.331667,43.971667,"Buraydah 52354, Saudi Arabia",,,Buraydah,52354,,,Buraydah,Buraydah,,Al-Qassim Province,,Saudi Arabia,sa,0.7875,0.7875,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1582,Villavicencio,Colombia,4.1347644,-73.6201517,"Villavicencio, MET, Colombia",,,,,,,Villavicencio,Villavicencio,,Meta,MET,Colombia,co,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1583,Murcia,Spain,37.9923795,-1.1305431,"Murcia, Region of Murcia, Spain",,,,,,,Murcia,Área Metropolitana de Murcia,,Region of Murcia,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1584,Armilla,Spain,37.1431197,-3.6277259,"18100 Armilla, Spain",,,,18100,,,Armilla,Comarca de la Vega de Granada,GR,Andalusia,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1585,Los Banos,Philippines,14.1775648,121.2214303,"Los Baños, Laguna, Philippines",,,,,,,Los Baños,,,Laguna,,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1586,Campus,Pakistan,29.321062,68.581141,Pakistan,,,Pakistan,,,,,,,,,Pakistan,pk,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1587,Szczecin,Poland,53.4301818,14.5509623,"Szczecin, West Pomeranian Voivodeship, Poland",,,,,,,Szczecin,,,West Pomeranian Voivodeship,,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1588,Conwy,United Kingdom,53.2811822,-3.8287012,"Conwy, WLS, United Kingdom",,,,,,,Conwy,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1589,Nashua,United States,42.7656251,-71.4677032,"Nashua, NH, United States of America",,,,,,,Nashua,Hillsborough County,,New Hampshire,NH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1590,Crete,Greece,35.308495199999996,24.46334231842296,"Crete, Region of Crete, Greece",,,Crete,,,,,,,Region of Crete,,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1591,Farmington,United States,36.7291152,-108.205445,"Farmington, NM, United States of America",,,,,,,Farmington,San Juan County,,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1592,Novato,United States,38.1061979,-122.5681191,"Novato, CA, United States of America",,,,,,,Novato,Marin County,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1593,Muharraq,Bahrain,26.2465946,50.6164127,"Muharraq 210, Bahrain",,,Muharraq,210,,,Muharraq,,,Muharraq Governorate,,Bahrain,bh,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1594,Wolverhampton,United Kingdom,52.5847651,-2.127567,"Wolverhampton, ENG, United Kingdom",,,,,,,Wolverhampton,West Midlands Combined Authority,,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1595,Mahasarakham,Thailand,16.1880948,103.2987346,"Maha Sarakham, Maha Sarakham Province, Thailand",,,Maha Sarakham,,,,Maha Sarakham,,,Maha Sarakham Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1596,Akure,Nigeria,7.2525595,5.1932647,"Akure 340223, Ondo State, Nigeria",,,Akure,340223,,,Akure,Akure South,,Ondo State,,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1597,Ibadan,Nigeria,7.3777462,3.8972497,"Ibadan 234102, Oyo State, Nigeria",,,Ibadan,234102,,,Ibadan,Ibadan South West,,Oyo State,,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1598,Ubonratchathani,Thailand,15.2276805,104.8577626,"Ubonratchathani National Museum, Kuanthani Road, Ubon Ratchathani, Ubon Ratchathani Province 34000, Thailand",Kuanthani Road,,Ubonratchathani National Museum,34000,,,Ubon Ratchathani,,,Ubon Ratchathani Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1599,Morioka,Japan,39.7021331,141.1545397,"Morioka, Japan",,,,,,,Morioka,Iwate Prefecture,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1600,Al Ahmadi,Kuwait,29.0890687,48.0610236,"60012 Ahmadi, Kuwait",,,Ahmadi,60012,,,Ahmadi,,,Ahmadi,,Kuwait,kw,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1601,Gurusar Sadhar,India,30.768169,75.633236,"Sadhar, PB, India",,,,,,,Sadhar,Ludhiana,,Punjab,PB,India,in,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1602,Gondar,Ethiopia,12.610368,37.466766,"6200 Gonder, Ethiopia",,,Gonder,6200,,,Gonder,North Gondar,,Amhara Region,,Ethiopia,et,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1603,Zhoushan,China,29.9873344,122.2030363,"Zhoushan, Zhejiang, China",,,,,,,Zhoushan,,,Zhejiang,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1604,Rupnagar,India,30.9688367,76.526088,"Rupnagar - 140001, PB, India",,,Rupnagar,140001,,,Rupnagar,Rupnagar Tahsil,,Punjab,PB,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1605,Ridgefield,United States,40.8342669,-74.0087505,"Ridgefield, NJ, United States of America",,,,,,,Ridgefield,Bergen County,,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1606,West Jakarta,Indonesia,-6.161569,106.74389053715214,"West Jakarta, Special Capital Region of Jakarta, Java, Indonesia",,,,,,West Jakarta,Special Capital Region of Jakarta,,,Java,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1607,Gyeongsan,South Korea,35.825122,128.741329,"Gyeongsan-si, South Korea",,,,,,,Gyeongsan-si,North Gyeongsang,,,,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1608,Ingelheim am Rhein,Germany,49.9752749,8.0547274,"Ingelheim am Rhein, Rhineland-Palatinate, Germany",,,,,,,Ingelheim am Rhein,Landkreis Mainz-Bingen,,Rhineland-Palatinate,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1609,Beijing,Myanmar,21.576814,96.06596,Myanmar,,,Myanmar,,,,,,,,,Myanmar,mm,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1610,Mandalay,Myanmar,21.9596834,96.0948743,"Maha Aungmye Township (Mandalay), 05024, Myanmar",,,Mandalay,05024,,,Mandalay,,,Mandalay,,Myanmar,mm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1611,Maia,Portugal,41.237345649999995,-8.629998173364326,"Maia, Portugal",,,,,,,Maia,Porto,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1612,,Bangladesh,24.4769288,90.2934413,Bangladesh,,,,,,,,,,,,Bangladesh,bd,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
